date,season,game_pk,pitcher_id,pitcher_name,team,opponent,home_away,line,bet_side,odds,model_prob,implied_prob,edge,predicted_mean,simulated_mean,simulated_median,simulated_std,recommended_units,kelly_units,actual_strikeouts,bet_result,profit_units,settled
2026-04-06,2026,823728,657746,Joe Ryan,MIN,DET,0,6.5,under,-132.0,0.72,0.569,0.151,5.221,5.184,5,2.568,2.0,0.88,7.0,loss,-1.0,True
2026-04-06,2026,823728,663554,Casey Mize,DET,MIN,1,4.5,over,-162.0,0.708,0.6183,0.0897,6.298,6.115,6,2.717,1.0,0.59,4.0,loss,-1.0,True
2026-04-06,2026,822755,669467,Andre Pallante,STL,WSH,1,3.5,over,-112.0,0.614,0.5283,0.0857,4.355,4.439,4,2.338,1.0,0.45,2.0,loss,-1.0,True
2026-04-07,2026,823402,694973,Paul Skenes,PIT,SD,0,6.5,under,-110.0,0.701,0.5238,0.1772,5.249,5.273,5,2.657,2.0,0.93,6.0,win,0.9091,True
2026-04-07,2026,824457,702070,Noah Cameron,KC,CLE,1,4.5,over,-114.0,0.644,0.5327,0.1113,5.746,5.72,6,2.638,1.5,0.6,5.0,win,0.8772,True
2026-04-07,2026,822831,592332,Kevin Gausman,TOR,LAD,0,5.5,under,154.0,0.501,0.3937,0.1073,5.736,5.678,5,2.65,1.5,0.44,5.0,win,1.54,True
2026-04-07,2026,823402,601713,Nick Pivetta,SD,PIT,1,6.5,under,-125.0,0.647,0.5556,0.0914,5.709,5.71,5,2.666,1.0,0.51,8.0,loss,-1.0,True
2026-04-07,2026,822999,656876,Drew Rasmussen,TB,CHC,0,4.5,under,-104.0,0.599,0.5098,0.0892,4.186,4.241,4,2.303,1.0,0.45,,,,False
2026-04-07,2026,824780,694819,Jacob Misiorowski,MIL,BOS,1,6.5,under,116.0,0.539,0.463,0.076,6.457,6.441,6,3.0,1.0,0.35,10.0,loss,-1.0,True
2026-04-07,2026,822754,676917,Cade Cavalli,WSH,STL,0,4.5,under,-112.0,0.602,0.5283,0.0737,4.074,4.145,4,2.257,0.5,0.39,3.0,win,0.8929,True
2026-04-07,2026,822999,665871,Javier Assad,CHC,TB,1,3.5,over,-108.0,0.582,0.5192,0.0628,4.073,4.144,4,2.212,0.5,0.33,3.0,loss,-1.0,True
2026-04-07,2026,824780,676979,Garrett Crochet,BOS,MIL,0,7.5,under,-118.0,0.594,0.5413,0.0527,7.154,7.031,7,2.98,0.5,0.29,7.0,win,0.8475,True
